Vuln_ID,Severity,Group_Title,Rule_ID,STIG_ID
V-38676,low,SRG-OS-999999,SV-50477r2_rule,RHEL-06-000291
V-38677,high,SRG-OS-000104,SV-50478r1_rule,RHEL-06-000309
V-38678,medium,SRG-OS-000048,SV-50479r2_rule,RHEL-06-000311
V-38679,medium,SRG-OS-999999,SV-50480r3_rule,RHEL-06-000292
V-38680,medium,SRG-OS-000046,SV-50481r1_rule,RHEL-06-000313
V-38681,low,SRG-OS-999999,SV-50482r2_rule,RHEL-06-000294
V-38682,medium,SRG-OS-000034,SV-50483r5_rule,RHEL-06-000315
V-38683,low,SRG-OS-000121,SV-50484r1_rule,RHEL-06-000296
V-38684,low,SRG-OS-000027,SV-50485r2_rule,RHEL-06-000319
V-38685,low,SRG-OS-000002,SV-50486r1_rule,RHEL-06-000297
V-38686,medium,SRG-OS-000147,SV-50487r2_rule,RHEL-06-000320
V-38687,low,SRG-OS-000160,SV-50488r3_rule,RHEL-06-000321
V-38688,medium,SRG-OS-000024,SV-50489r3_rule,RHEL-06-000324
V-38689,medium,SRG-OS-000228,SV-50490r5_rule,RHEL-06-000326
V-38690,low,SRG-OS-000123,SV-50491r1_rule,RHEL-06-000298
V-38691,medium,SRG-OS-000034,SV-50492r2_rule,RHEL-06-000331
V-38692,low,GEN006660,SV-50493r1_rule,RHEL-06-000334
V-38693,low,SRG-OS-999999,SV-50494r4_rule,RHEL-06-000299
V-38694,low,SRG-OS-000118,SV-50495r1_rule,RHEL-06-000335
V-38695,medium,SRG-OS-000094,SV-50496r2_rule,RHEL-06-000302
V-38696,medium,SRG-OS-000098,SV-50497r2_rule,RHEL-06-000303
V-38697,low,SRG-OS-999999,SV-50498r2_rule,RHEL-06-000336
V-38698,medium,SRG-OS-000232,SV-50499r2_rule,RHEL-06-000304
V-38699,low,SRG-OS-999999,SV-50500r2_rule,RHEL-06-000337
V-38700,medium,SRG-OS-000196,SV-50501r2_rule,RHEL-06-000305
V-38701,high,SRG-OS-999999,SV-50502r2_rule,RHEL-06-000338
V-38702,low,SRG-OS-000037,SV-50503r2_rule,RHEL-06-000339
V-43150,medium,SRG-OS-999999,SV-55880r2_rule,RHEL-06-000527
V-51337,medium,SRG-OS-999999,SV-65547r2_rule,RHEL-06-000017
V-51363,medium,SRG-OS-999999,SV-65573r1_rule,RHEL-06-000020
V-51369,low,SRG-OS-999999,SV-65579r1_rule,RHEL-06-000023
V-51379,low,SRG-OS-999999,SV-65589r1_rule,RHEL-06-000025
V-51391,medium,SRG-OS-000232,SV-65601r1_rule,RHEL-06-000018
V-51875,medium,SRG-OS-999999,SV-66089r1_rule,RHEL-06-000372
V-54381,medium,SRG-OS-999999,SV-68627r3_rule,RHEL-06-000163
V-57569,medium,SRG-OS-999999,SV-71919r1_rule,RHEL-06-000528
V-58901,medium,SRG-OS-000373,SV-73331r2_rule,RHEL-06-000529
V-72817,medium,RHEL-06-000293,SV-87461r1_rule,RHEL-06-000293
V-81441,low,SRG-OS-000062,SV-96155r1_rule,RHEL-06-000166
V-81443,medium,SRG-OS-000480-GPOS-00227,SV-96157r1_rule,RHEL-06-000533
V-81445,low,SRG-OS-000368-GPOS-00154,SV-96159r1_rule,RHEL-06-000530
V-81447,low,SRG-OS-000368-GPOS-00154,SV-96161r1_rule,RHEL-06-000531
V-81449,low,SRG-OS-000368-GPOS-00154,SV-96163r1_rule,RHEL-06-000532
